time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-29T19:17:18.523Z,56.2317,-157.2035,61.6,2.5,ml,,,,0.82,ak,ak0221c9zzf0,2022-04-15T17:57:01.040Z,"74 km E of Chignik, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2022-01-29T13:48:53.323Z,53.8073,-164.0494,35,3.5,ml,,189,0.737,0.84,us,us7000gg8h,2022-04-15T17:57:03.040Z,"119 km ESE of Akutan, Alaska",earthquake,3.2,2,0.085,18,reviewed,us,us
2022-01-29T11:27:33.191Z,56.1463,-156.3969,44.1,2.5,ml,,,,0.44,ak,ak0221c5aovb,2022-04-15T17:57:28.040Z,"125 km E of Chignik, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2022-01-29T10:54:34.577Z,53.5255,-165.5889,35,3,ml,,206,0.605,0.49,us,us7000gm3t,2022-04-15T17:57:28.040Z,"68 km S of Akutan, Alaska",earthquake,2.1,2,0.097,14,reviewed,us,us
2022-01-29T10:43:33.165Z,53.7876,-164.036,35,4.3,mb,,154,0.758,0.66,us,us7000gg79,2022-04-15T17:57:03.040Z,"120 km ESE of Akutan, Alaska",earthquake,3,2,0.101,28,reviewed,us,us
2022-01-29T10:23:00.042Z,53.8278,-164.069,35,4.6,mb,,140,0.714,0.61,us,us7000gg75,2022-04-15T17:57:03.040Z,"117 km ESE of Akutan, Alaska",earthquake,4.1,1.9,0.05,120,reviewed,us,us
2022-01-29T10:15:23.654Z,53.8429,-164.0553,35,3.3,mb,,198,0.703,0.67,us,us7000gm3s,2022-04-15T17:57:28.040Z,"117 km ESE of Akutan, Alaska",earthquake,2.3,2,0.198,6,reviewed,us,us
2022-01-29T10:01:07.670Z,53.8183,-164.0359,35,3.3,mb,,189,0.731,0.57,us,us7000gm3r,2022-04-15T17:57:28.040Z,"119 km ESE of Akutan, Alaska",earthquake,2.8,2,0.197,6,reviewed,us,us
2022-01-29T09:56:15.284Z,53.7654,-164.0172,35,4.5,mb,,167,0.783,0.53,us,us7000gg71,2022-04-15T17:57:02.040Z,"122 km ESE of Akutan, Alaska",earthquake,4.6,1.9,0.074,54,reviewed,us,us
2022-01-29T09:33:54.346Z,53.8026,-164.0266,35,4.8,mb,,158,0.747,0.64,us,us7000gg6w,2022-04-15T17:57:02.040Z,"120 km ESE of Akutan, Alaska",earthquake,3.4,2,0.048,132,reviewed,us,us
2022-01-29T04:45:58.296Z,56.3627,-157.4858,61.3,2.5,ml,,,,0.36,ak,ak0221c18kgl,2022-04-15T17:57:28.040Z,"57 km E of Chignik, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2022-01-29T03:22:05.924Z,57.8438,-156.2482,124.2,3.3,ml,,,,0.66,ak,ak0221c0i372,2022-04-15T17:57:02.040Z,"77 km ENE of Ugashik, Alaska",earthquake,,0.8,,,reviewed,ak,ak
