# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.700         0         1          1938
     3.400         0         1          1860
     8.200       536         0          1858
     3.500         0         1          1410
     3.500         1         0          1420
     4.600         0         1          1240
     3.300         0         1          1074
     5.200         3         0           938
     3.100         1         0           772
     3.300         1         0           764
     3.700         0         1           751
     3.900         1         0           744
     4.400         3         0           732
     5.200         1         0           705
     3.100         0         1           613
     3.300         1         0           546
     4.300         0         1           454
     3.400         0         1           440
     4.200         1         0           410
     3.500         0         1           398
     6.800       127         0           360
     3.700         1         0           180
     3.400         1         0           122
     6.200        19         0           101
     4.800         7         0             9
     3.300         0         0          1944
     3.800         0         0          1937
     3.000         0         0          1932
     3.000         0         0          1931
     3.000         0         0          1930
     4.100         0         0          1927
     3.800         0         0          1926
     3.300         0         0          1925
     3.100         0         0          1924
     4.000         0         0          1922
     3.500         0         0          1918
     3.200         0         0          1909
     4.000         0         0          1907
     3.500         0         0          1906
     3.800         0         0          1904
     4.200         0         0          1896
     3.300         0         0          1895
     3.000         0         0          1893
     3.400         0         0          1892
     3.000         0         0          1884
     3.400         0         0          1881
     3.500         0         0          1878
     4.400         0         0          1877
     3.800         0         0          1874
     3.700         0         0          1868
     3.000         0         0          1865
     3.400         0         0          1864
     4.200         0         0          1863
     3.100         0         0          1859
     3.200         0         0          1473
     3.100         0         0          1421
     3.400         0         0          1399
     3.200         0         0          1393
     3.100         0         0          1378
     3.000         0         0          1366
     3.900         0         0          1333
     3.100         0         0          1318
     3.500         0         0          1306
     3.000         0         0          1290
     3.800         0         0          1227
     3.100         0         0          1212
     3.700         0         0          1209
     3.100         0         0          1207
     3.200         0         0          1192
     3.600         0         0          1190
     3.600         0         0          1180
     4.200         0         0          1179
     4.000         0         0          1147
     3.000         0         0          1137
     3.100         0         0          1112
     3.300         0         0          1089
     3.600         0         0          1087
     3.000         0         0          1072
     3.200         0         0          1060
     3.400         0         0          1042
     3.600         0         0          1026
     3.300         0         0          1020
     3.300         0         0          1017
     3.100         0         0          1004
     3.200         0         0           981
     3.400         0         0           972
     4.400         0         0           966
     3.300         0         0           965
     3.500         0         0           960
     3.700         0         0           958
     3.200         0         0           949
     3.000         0         0           947
     3.900         0         0           945
     3.000         0         0           931
     4.000         0         0           930
     4.400         0         0           922
     3.100         0         0           916
     4.100         0         0           910
     3.100         0         0           872
     3.000         0         0           871
     3.000         0         0           858
     3.800         0         0           844
     3.700         0         0           843
     3.800         0         0           833
     3.400         0         0           832
     3.700         0         0           824
     3.600         0         0           815
     3.100         0         0           814
     3.400         0         0           807
     3.900         0         0           806
     3.300         0         0           805
     3.100         0         0           804
     3.600         0         0           793
     3.000         0         0           777
     3.600         0         0           758
     3.300         0         0           755
     3.000         0         0           754
     3.800         0         0           748
     3.900         0         0           712
     3.000         0         0           711
     3.200         0         0           692
     3.600         0         0           689
     3.300         0         0           682
     3.900         0         0           677
     3.000         0         0           675
     3.000         0         0           674
     3.000         0         0           672
     3.100         0         0           671
     3.100         0         0           664
     3.000         0         0           663
     3.100         0         0           662
     3.500         0         0           655
     3.000         0         0           652
     3.100         0         0           638
     3.800         0         0           626
     3.100         0         0           625
     3.500         0         0           620
     3.000         0         0           618
     3.100         0         0           610
     3.800         0         0           600
     3.400         0         0           598
     3.900         0         0           590
     3.100         0         0           574
     3.100         0         0           572
     3.100         0         0           564
     3.600         0         0           554
     5.200         0         0           534
     3.000         0         0           533
     3.500         0         0           529
     3.300         0         0           527
     3.300         0         0           520
     3.500         0         0           516
     3.000         0         0           515
     3.100         0         0           514
     3.500         0         0           513
     3.100         0         0           508
     3.100         0         0           507
     4.000         0         0           506
     3.000         0         0           501
     4.500         0         0           498
     3.100         0         0           496
     3.200         0         0           478
     3.200         0         0           475
     3.100         0         0           474
     3.400         0         0           472
     3.300         0         0           471
     3.100         0         0           470
     3.000         0         0           464
     3.500         0         0           463
     3.200         0         0           458
     3.100         0         0           453
     3.100         0         0           449
     3.100         0         0           446
     3.000         0         0           442
     3.500         0         0           437
     3.200         0         0           433
     4.200         0         0           423
     5.000         0         0           421
     3.400         0         0           419
     3.100         0         0           418
     3.500         0         0           407
     3.200         0         0           406
     3.400         0         0           401
     3.800         0         0           400
     3.300         0         0           396
     3.600         0         0           392
     3.100         0         0           381
     3.000         0         0           379
     4.100         0         0           374
     3.000         0         0           373
     3.000         0         0           371
     3.000         0         0           367
     4.000         0         0           366
     3.100         0         0           364
     3.100         0         0           363
     4.800         0         0           361
     3.000         0         0           214
     3.500         0         0           151
     3.500         0         0           141
     3.200         0         0           139
     3.300         0         0           138
     3.000         0         0           137
     3.500         0         0           124
     3.300         0         0           110
     4.600         0         0           108
     4.400         0         0           103
     3.100         0         0            63
     3.000         0         0            57
     3.200         0         0            42
     3.800         0         0            39
     4.000         0         0            37
     3.200         0         0            31
     3.000         0         0            29
     3.700         0         0            19
     3.200         0         0            17
     3.300         0         0            11
