# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     8.800      1815         0          1897
     6.300         6         0          1686
     5.800         4         0           928
     5.400         1         0           652
     5.200         1         0           160
     6.300         1         0           537
     4.300         1         0            69
     5.600         1         0            60
     4.000         0         0          1913
     4.600         0         0          1912
     3.800         0         0          1911
     3.700         0         0          1910
     4.500         0         0          1909
     5.800         0         0          1908
     4.100         0         0          1907
     4.500         0         0          1906
     4.200         0         0          1905
     4.400         0         0          1904
     4.200         0         0          1902
     4.000         0         0          1901
     4.600         0         0          1900
     4.200         0         0          1899
     4.400         0         0          1898
     4.400         0         0          1394
     5.100         0         0          1167
     4.300         0         0          1076
     5.200         0         0          1039
     4.800         0         0           896
     4.500         0         0           716
     4.700         0         0           530
     4.300         0         0           518
     4.800         0         0           497
     4.200         0         0           451
     4.700         0         0           430
     4.600         0         0           427
     5.800         0         0           419
     5.500         0         0           414
     4.900         0         0           405
     4.200         0         0           350
     4.500         0         0           348
     4.000         0         0           324
     4.000         0         0           320
     4.300         0         0           314
     4.400         0         0           310
     3.400         0         0           294
     4.000         0         0           271
     4.000         0         0           251
     4.600         0         0           228
     4.100         0         0           224
     5.100         0         0           223
     4.900         0         0           190
     4.800         0         0           166
     4.200         0         0           163
     4.100         0         0           162
     4.000         0         0           158
     4.600         0         0           152
     4.300         0         0           150
     4.700         0         0           148
     4.700         0         0           145
     4.800         0         0           138
     4.200         0         0           128
     4.600         0         0           116
     4.300         0         0           109
     4.400         0         0           107
     4.500         0         0            84
     5.500         0         0            77
     4.700         0         0            75
     5.000         0         0            74
     4.200         0         0            72
     4.500         0         0            68
     4.200         0         0            67
     4.800         0         0            63
     4.200         0         0            62
     4.000         0         0            33
     4.400         0         0            32
     5.400         0         0            31
     4.300         0         0            22
     4.400         0         0            17
     5.100         0         0            11
     4.000         0         0             7
     4.300         0         0             5
     4.500         0         0             4
